gene	chromosome	start	end	strand
IL3RA	Y	1335025	1382689	1
IL7R	5	35852695	35879603	1
INMT	7	30697985	30770621	1
INS	11	2159779	2161221	-1
IRF8	16	85899116	85922606	1
ITGAE	17	3714628	3801225	-1
KCNK3	2	26692713	26733420	1
KCNMA1	10	76869601	77638908	-1
KEAP1	19	10484512	10503558	-1
KIT	4	54657267	54740783	1
KLK11	19	51022216	51028060	-1
KLRB1	12	9593888	9607949	-1
KLRC1	12	10440411	10454685	-1
KLRD1	12	10226058	10329608	1
KNG1	3	186717329	186744736	1
KRT20	17	40872785	40885249	-1
KRT7	12	52232520	52252186	1
LAG3	12	6772360	6778455	1
LAMP3	3	183122013	183163839	-1
LGI4	19	35124507	35142451	-1
LGR5	12	71439795	71586310	1
LIF	22	30240453	30246804	-1
LILRA4	19	54333185	54339162	-1
LILRA5	19	54307037	54313177	-1
LILRB2	19	54273812	54281184	-1
LILRB4	19	54643889	54670531	1
LPL	8	19901717	19967653	1
LTBP2	14	74498163	74612378	-1
LY6D	8	142784881	142786546	-1
LY86	6	6588108	6654984	1
LYVE1	11	10555420	10611689	-1
MALL	2	110279604	110287507	1
MAMDC2	9	70043516	70226987	1
MARCO	2	118942172	118994664	1
MCEMP1	19	7677056	7679834	1
MCF2L	13	112894330	113100412	1
MDM2	12	68808141	68845544	1
MEDAG	13	30906200	30925574	1
MEF2C	5	88717117	88904257	-1
MEST	7	130486171	130522765	1
MET	7	116672051	116798391	1
MFAP5	12	8637346	8672519	-1
MKI67	10	128096659	128126458	-1
MLANA	9	5890873	5910606	1
MLPH	2	237485428	237555322	1
MMRN1	4	89879532	89954629	1
MMRN2	10	86935540	86969481	-1
MNDA	1	158802264	158849517	1
MPEG1	11	59208510	59213474	-1
MRC1	10	17809014	17911607	1
MS4A1	11	60455752	60470752	1
MS4A2	11	60088261	60098467	1
MS4A4A	11	60185657	60318311	1
MS4A6A	11	60169930	60184666	-1
MYBPC1	12	101568353	101688685	1
MYC	8	127735434	127742951	1
MYH11	16	15703135	15858438	-1
MYLK	3	123610049	123884375	-1
MZB1	5	139387467	139390081	-1
NAT8	2	73640723	73643229	-1
NFE2L2	2	177218667	177392756	-1
NKG7	19	51371606	51375628	-1
NPDC1	9	137037577	137046700	-1
NTN4	12	95657529	95791373	-1
OGN	9	92383268	92406734	-1
OPRPN	4	70397931	70410195	1
PCNA	20	5114953	5127630	-1
PCOLCE	7	100602321	100608175	1
PCP4	21	39867326	39929397	1
PCSK2	20	17226107	17484578	1
PDCD1	2	241849884	241858894	-1
PDGFRA	4	54229130	54298246	1
PDGFRB	5	150113839	150186363	-1
PDPN	1	13583465	13617960	1
PEBP4	8	22710102	23000000	-1
PECAM1	17	64319415	64431594	-1
PGR	11	101029624	101129817	-1
PIGR	1	206928522	206949367	-1
PLA2G7	6	46698431	46735728	-1
PLAC9	10	80131682	80147044	1
PLCG2	16	81738248	81962685	1
PLD4	14	104924713	104937784	1
PLIN4	19	4502182	4520379	-1
PMP22	17	15176316	15272292	-1
PPARG	3	12287368	12455622	1
PPP1R1A	12	54575387	54588844	-1
PPP1R1B	17	39626740	39636626	1
PPY	17	43940804	43952444	-1
PRDM1	6	105993463	106109939	1
PRF1	10	70596401	70602788	-1
PRG4	1	186296222	186314567	1
PROX1	1	213982711	214041510	1
PTGDS	9	136975053	136981750	1
PTN	7	137223705	137344358	-1
PTPRC	1	198629900	198759346	1
PVALB	22	36800682	36819479	-1
PVR	19	44643798	44666162	1
RAMP2	17	42758447	42763537	1
RAPGEF3	12	47734180	47771040	-1
RBP5	12	7115736	7128891	-1
RERGL	12	18080869	18320107	-1
RETN	19	7669044	7670456	1
RGS16	1	182598623	182604394	-1
RIDA	8	98085179	98117206	-1
RND1	12	48857134	48865870	-1
RTKN2	10	62180806	62268900	-1
S100A1	1	153608923	153632044	1
S100A12	1	153373703	153375660	-1
SCGB2A1	11	62208666	62213943	1
SCGN	6	25652201	25701792	1
SELE	1	169722640	169764705	-1
SELL	1	169690665	169712202	-1
SEMA3C	7	80742538	80922393	-1
SERPINB2	18	63871692	63903888	1
SERPINB3	18	63652584	63661893	-1
SERPINB9	6	2887169	2903318	-1
SFRP2	4	153780544	153791620	-1
SFRP4	7	37903004	38025695	-1
SFTA2	6	30931353	30955636	-1
SH2D3C	9	127738317	127778771	-1
SLAMF1	1	160608100	160647056	-1
SLAMF7	1	160739057	160754821	1
SLC18A2	10	117240830	117279431	1
SLC22A8	11	62989154	63017561	-1
SLC26A2	5	149960748	149993455	1
SLC26A3	7	107764219	107803630	-1
SLC4A1	17	44248390	44268162	-1
SMIM24	19	3473986	3480557	-1
SMYD2	1	214280722	214338880	1
SNAI1	20	49982979	49988886	1
SNCA	4	89700345	89838321	-1
SNCG	10	86955753	86963264	1
SNTN	3	63652664	63679020	1
SOX17	8	54457928	54462314	1
SOX18	20	64047582	64050629	-1
SOX2	3	181711925	181714436	1
SPDEF	6	34537796	34556358	-1
SPI1	11	47354860	47409369	-1
SPIB	19	50418931	50431314	1
SRPX	X	38149336	38220941	-1
SST	3	187668856	187670401	-1
STC1	8	23841929	23854815	-1
STC2	5	173314708	173328447	-1
STEAP4	7	88270892	88307061	-1
TAC1	7	97731907	97740472	1
TAT	16	71565660	71577096	-1
TBX3	12	114670255	114684414	-1
TCF15	20	603801	610316	-1
TCF4	18	55222185	55664787	-1
TCF7	5	134114645	134151865	1
TCIM	8	40153482	40155310	1
TCL1A	14	95694156	95714196	-1
TENT5C	1	117605926	117628389	1
TFF2	21	42346357	42350997	-1
TFPI	2	187463823	187565846	-1
THAP2	12	71663968	71680644	1
THBS2	6	169215780	169254060	-1
THY1	11	119415476	119424985	-1
TIGIT	3	114276913	114310288	1
TIMP4	3	12149834	12159395	-1
TM4SF18	3	149318498	149334414	-1
TM4SF4	3	149473937	149503394	1
TMC5	16	19410428	19499117	1
TMEM100	17	55718739	55732121	-1
TMEM174	5	73173193	73175143	1
TMEM52B	12	10170512	10191807	1
TNC	9	115019575	115118257	-1
TNFRSF13B	17	16929816	16972118	-1
TNFRSF17	16	11965138	11968068	1
TNFRSF9	1	7915871	7943165	-1
TOP2A	17	40388521	40417941	-1
TOX	8	58805412	59119310	-1
TRAC	14	22547506	22552156	1
TRBC1	7	142791694	142793368	1
TRBC2	7	142801041	142802748	1
TRDC	14	22462932	22465787	1
TREM2	6	41158488	41163203	-1
TSPAN19	12	85014311	85036277	-1
TXNRD1	12	104215773	104352786	1
UBE2C	20	45812561	45816965	1
UMOD	16	20331489	20356402	-1
UPK3B	7	76510353	76532774	1
VCAN	5	83471618	83585130	1
VSIG4	X	66021738	66040146	-1
VWA5A	11	124115404	124147721	1
VWF	12	5948877	6124770	-1
